supplier_id,supplier_name,contact_email,phone_number
1,Arctic Foods,contact@arcticfoods.com,9876543210
2,Fresh Dairy Co,info@freshdairy.com,9812345670
3,Polar Treats,sales@polartreats.com,9123456789
4,Cool Cream Ltd,support@coolcream.com,9988776655
5,Frozen Valley,contact@frozenvalley.com,9090909090
6,Northern Creamery,contact@ncream.com,9888888881
7,Everest Dairy,info@everestdairy.com,9888888882
8,Milky Way Foods,sales@milkyway.com,9888888883
9,Snowcap Supplies,contact@snowcap.com,9888888884
10,Crystal Dairy,info@crystaldairy.com,9888888885
